SAMPID,TISSUE
GTEX-12WSH-0008-SM-5S2V1,Cells_Cultured_fibroblasts
GTEX-12WSH-0011-R10a-SM-5LZUS,Brain_Frontal_Cortex_BA9
GTEX-12WSH-0011-R10a-SM-AHZ6J,Brain_Frontal_Cortex_BA9
GTEX-12WSH-0011-R10a-SM-CYKRI,Brain_Frontal_Cortex_BA9
GTEX-12WSH-0011-R11a-SM-5LZVM,Brain_Cerebellar_Hemisphere
GTEX-12WSH-0011-R1a-SM-5GU5V,Brain_Hippocampus
GTEX-12WSH-0011-R2a-SM-5GU68,Brain_Substantia_nigra
GTEX-12WSH-0011-R4a-SM-5GU6K,Brain_Amygdala
GTEX-12WSH-0011-R5b-SM-5P9F3,Brain_Caudate_basal_ganglia
GTEX-12WSH-0011-R6b-SM-5P9F4,Brain_Nucleus_accumbens_basal_ganglia
GTEX-12WSH-0011-R9b-SM-5LZUG,Brain_Spinal_cord_cervical_c-1
GTEX-12WSH-0126-SM-5GCO3,Lung
GTEX-12WSH-0226-SM-5GCOG,Thyroid
GTEX-12WSH-0326-SM-5GCNH,Testis
GTEX-12WSH-1526-SM-5BC5W,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12WSH-2526-SM-5CVNH,Muscle_Skeletal
GTEX-12WSH-2826-SM-5GCP5,Artery_Tibial
GTEX-12WSH-2926-SM-5GCMR,Pituitary
GTEX-12WSH-3026-SM-5CVNI,Brain_Cortex
GTEX-12WSH-3126-SM-5LZW8,Brain_Cerebellum
GTEX-12WSI-0004-SM-5ANGP,Whole_Blood
GTEX-12WSI-0004-SM-5DWRW,Whole_Blood
GTEX-12WSI-0004-SM-6WSCD,Whole_Blood
GTEX-12WSI-0005-SM-5O99K,Whole_Blood
GTEX-12WSI-0008-SM-664MD,Cells_Cultured_fibroblasts
GTEX-12WSI-0011-R11b-SM-5P9EZ,Brain_Cerebellar_Hemisphere
GTEX-12WSI-0011-R7b-SM-5GU78,Brain_Putamen_basal_ganglia
GTEX-12WSI-0226-SM-5GCNA,Liver
GTEX-12WSI-0426-SM-5EQ5J,Heart_Atrial_Appendage
GTEX-12WSI-0826-SM-5EGKD,Lung
GTEX-12WSI-1526-SM-5GCNM,Adipose_Visceral_Omentum
GTEX-12WSI-2126-SM-5GCMV,Testis
GTEX-12WSJ-0002-SM-5TDBV,Cells_EBV-transformed_lymphocytes 
GTEX-12WSJ-0003-SM-5ANG5,Whole_Blood
GTEX-12WSJ-0003-SM-5DWRN,Whole_Blood
GTEX-12WSJ-0003-SM-6WSBN,Whole_Blood
GTEX-12WSJ-0005-SM-5LU8S,Whole_Blood
GTEX-12WSJ-0008-SM-664ML,Cells_Cultured_fibroblasts
GTEX-12WSJ-0126-SM-5GCOM,Adrenal_Gland
GTEX-12WSJ-0226-SM-5GCP7,Lung
GTEX-12WSJ-0326-SM-5GCMT,Thyroid
GTEX-12WSJ-0526-SM-5GCOZ,Spleen
GTEX-12WSJ-0726-SM-5GCN6,Esophagus_Muscularis
GTEX-12WSJ-0826-SM-5PNWV,Esophagus_Gastroesophageal_Junction
GTEX-12WSJ-0926-SM-5P9JD,Stomach
GTEX-12WSJ-1126-SM-5LZVJ,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12WSJ-1226-SM-5LU91,Ovary
GTEX-12WSJ-1326-SM-5GCOB,Vagina
GTEX-12WSJ-1426-SM-5GCON,Colon_Sigmoid
GTEX-12WSJ-1526-SM-5GCNI,Colon_Transverse
GTEX-12WSJ-1726-SM-5LZVV,Muscle_Skeletal
GTEX-12WSJ-1826-SM-5GCNY,Skin_Sun_Exposed_Lower_leg
GTEX-12WSK-0003-SM-5ANG3,Whole_Blood
GTEX-12WSK-0003-SM-5DWRQ,Whole_Blood
GTEX-12WSK-0003-SM-6WSBW,Whole_Blood
GTEX-12WSK-0006-SM-5NQA1,Whole_Blood
GTEX-12WSK-0008-SM-5YY9R,Cells_Cultured_fibroblasts
GTEX-12WSK-0126-SM-5GCO7,Spleen
GTEX-12WSK-0226-SM-5BC62,Pancreas
GTEX-12WSK-0326-SM-5GCOJ,Adrenal_Gland
GTEX-12WSK-0426-SM-5GCNS,Artery_Aorta
GTEX-12WSK-0526-SM-5CVNA,Heart_Atrial_Appendage
GTEX-12WSK-0626-SM-5LZUJ,Heart_Left_Ventricle
GTEX-12WSK-0726-SM-5LZUV,Artery_Coronary
GTEX-12WSK-0826-SM-5CVNP,Lung
GTEX-12WSK-0926-SM-5CVNQ,Thyroid
GTEX-12WSK-1026-SM-5CVNR,Adipose_Visceral_Omentum
GTEX-12WSK-1126-SM-5LZV8,Esophagus - Esophagus_Mucosa
GTEX-12WSK-1326-SM-5CVNM,Esophagus_Gastroesophageal_Junction
GTEX-12WSK-1426-SM-5CVNN,Stomach
GTEX-12WSK-1526-SM-5CVNO,Small_Intestine_Terminal_Ileum
GTEX-12WSK-1926-SM-5LZVK,Ovary
GTEX-12WSK-2026-SM-5CVNB,Uterus
GTEX-12WSK-2126-SM-5CVNC,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12WSK-2226-SM-5GCO5,Breast_Mammary_Tissue
GTEX-12WSK-2326-SM-5GCOH,Skin_Sun_Exposed_Lower_leg
GTEX-12WSK-2626-SM-5GCOT,Nerve_Tibial
GTEX-12WSK-2726-SM-5CVND,Artery_Tibial
GTEX-12WSK-5005-SM-AN3Y3,Heart_Left_Ventricle
GTEX-12WSK-5015-SM-AN3Y2,Muscle_Skeletal
GTEX-12WSL-0002-SM-664MF,Cells_EBV-transformed_lymphocytes 
GTEX-12WSL-0003-SM-5ANFZ,Whole_Blood
GTEX-12WSL-0003-SM-5DWRL,Whole_Blood
GTEX-12WSL-0003-SM-6WSBO,Whole_Blood
GTEX-12WSL-0005-SM-5NQAD,Whole_Blood
GTEX-12WSL-0008-SM-664MM,Cells_Cultured_fibroblasts
GTEX-12WSL-0226-SM-5CVMJ,Liver
GTEX-12WSL-0326-SM-5CVMK,Adrenal_Gland
GTEX-12WSL-0426-SM-5GCNX,Pancreas
GTEX-12WSL-0626-SM-5GCOY,Thyroid
GTEX-12WSL-0926-SM-5N9EK,Artery_Coronary
GTEX-12WSL-1026-SM-5CVNJ,Lung
GTEX-12WSL-1126-SM-5CVNK,Adipose_Visceral_Omentum
GTEX-12WSL-1226-SM-5DUXE,Esophagus_Gastroesophageal_Junction
GTEX-12WSL-1326-SM-5LZVW,Esophagus_Muscularis
GTEX-12WSL-1526-SM-5GCP8,Esophagus - Esophagus_Mucosa
GTEX-12WSL-1626-SM-5GCMU,Colon_Transverse
GTEX-12WSL-1826-SM-5LZW9,Colon_Sigmoid
GTEX-12WSL-2026-SM-5GCML,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12WSL-2126-SM-5GCNG,Minor_Salivary_Gland
GTEX-12WSL-2326-SM-5DUXQ,Testis
GTEX-12WSL-2426-SM-5GCN7,Adipose_Subcutaneous
GTEX-12WSL-2526-SM-5GCNJ,Skin_Sun_Exposed_Lower_leg
GTEX-12WSL-2626-SM-5GCNV,Artery_Tibial
GTEX-12WSL-2726-SM-5CVNL,Muscle_Skeletal
GTEX-12WSL-2826-SM-5LZWL,Nerve_Tibial
GTEX-12WSL-5001-SM-AN3XD,Heart_Left_Ventricle
GTEX-12WSL-5016-SM-AN3XE,Muscle_Skeletal
GTEX-12WSM-0001-SM-5ANFP,Whole_Blood
GTEX-12WSM-0001-SM-5DWS1,Whole_Blood
GTEX-12WSM-0001-SM-6WSBS,Whole_Blood
GTEX-12WSM-0005-SM-5NQB3,Whole_Blood
GTEX-12WSM-0008-SM-5S2VD,Cells_Cultured_fibroblasts
GTEX-12WSM-0011-R10a-SM-5DUWV,Brain_Frontal_Cortex_BA9
GTEX-12WSM-0011-R10a-SM-AHZ6F,Brain_Frontal_Cortex_BA9
GTEX-12WSM-0011-R10a-SM-CYKRA,Brain_Frontal_Cortex_BA9
GTEX-12WSM-0011-R11a-SM-5DUX8,Brain_Cerebellar_Hemisphere
GTEX-12WSM-0011-R1a-SM-5LZW6,Brain_Hippocampus
GTEX-12WSM-0011-R3b-SM-5LZWI,Brain_Anterior_cingulate_cortex_BA24
GTEX-12WSM-0011-R5a-SM-5EQ4Y,Brain_Caudate_basal_ganglia
GTEX-12WSM-0011-R6b-SM-5EQ6N,Brain_Nucleus_accumbens_basal_ganglia
GTEX-12WSM-0011-R7b-SM-5EGLD,Brain_Putamen_basal_ganglia
GTEX-12WSM-0011-R8a-SM-5DUWJ,Brain_Hypothalamus
GTEX-12WSM-0226-SM-5LZV6,Adipose_Subcutaneous
GTEX-12WSM-0326-SM-5LZVI,Muscle_Skeletal
GTEX-12WSM-0326-SM-CYKW3,Muscle_Skeletal
GTEX-12WSM-0426-SM-5LZVU,Nerve_Tibial
GTEX-12WSM-0526-SM-5GCO8,Artery_Tibial
GTEX-12WSM-0626-SM-5GCOK,Adipose_Visceral_Omentum
GTEX-12WSM-0726-SM-5GCOW,Liver
GTEX-12WSM-1326-SM-5GCP9,Testis
GTEX-12WSM-1426-SM-5GCPA,Colon_Sigmoid
GTEX-12WSM-1726-SM-5BC6J,Breast_Mammary_Tissue
GTEX-12WSM-1826-SM-5BC64,Minor_Salivary_Gland
GTEX-12WSM-1926-SM-5BC65,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12WSM-2126-SM-5GCOC,Brain_Cerebellum
GTEX-12WSM-2226-SM-5DUVS,Pituitary
GTEX-12WSN-0001-SM-664MG,Cells_EBV-transformed_lymphocytes 
GTEX-12WSN-0004-SM-5ANGE,Whole_Blood
GTEX-12WSN-0004-SM-5DWRZ,Whole_Blood
GTEX-12WSN-0004-SM-6WSBR,Whole_Blood
GTEX-12WSN-0006-SM-5NQAP,Whole_Blood
GTEX-12WSN-0008-SM-664MI,Cells_Cultured_fibroblasts
GTEX-12WSN-0126-SM-5DUX5,Spleen
GTEX-12WSN-0226-SM-5DUXH,Heart_Atrial_Appendage
GTEX-12WSN-0326-SM-5GCP6,Artery_Aorta
GTEX-12WSN-0626-SM-5BC61,Lung
GTEX-12WSN-0726-SM-5GCMS,Thyroid
GTEX-12WSN-0826-SM-5GCOF,Pancreas
GTEX-12WSN-0926-SM-5GCN1,Adrenal_Gland
GTEX-12WSN-1326-SM-5GCNT,Breast_Mammary_Tissue
GTEX-12WSN-1426-SM-5GCO6,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12WSN-1826-SM-5LZUT,Esophagus_Gastroesophageal_Junction
GTEX-12WSN-2226-SM-5DUXT,Minor_Salivary_Gland
GTEX-12WSN-2326-SM-5DUVG,Skin_Sun_Exposed_Lower_leg
GTEX-12WSN-2526-SM-5LZU8,Muscle_Skeletal
GTEX-12WSN-2726-SM-5LZUK,Artery_Tibial
GTEX-12WSN-5001-SM-7DHMK,Heart_Left_Ventricle
GTEX-12WSN-5004-SM-793CE,Lung
GTEX-12WSN-5007-SM-7MGWH,Prostate
GTEX-12WSN-5013-SM-7P8P9,Esophagus - Esophagus_Mucosa
GTEX-12WSN-5016-SM-7DUGY,Esophagus_Muscularis
GTEX-12WSN-5019-SM-79OM6,Skin_Sun_Exposed_Lower_leg
GTEX-12WSN-5022-SM-7DHN6,Muscle_Skeletal
GTEX-12ZZW-0003-SM-5ANGB,Whole_Blood
GTEX-12ZZW-0003-SM-5DWRO,Whole_Blood
GTEX-12ZZW-0003-SM-6WSBT,Whole_Blood
GTEX-12ZZW-0005-SM-5O9BY,Whole_Blood
GTEX-12ZZW-0008-SM-5YY9L,Cells_Cultured_fibroblasts
GTEX-12ZZW-0011-R10a-SM-AHZMP,Brain_Frontal_Cortex_BA9
GTEX-12ZZW-0011-R10b-SM-5HL9X,Brain_Frontal_Cortex_BA9
GTEX-12ZZW-0011-R3a-SM-5DUWW,Brain_Anterior_cingulate_cortex_BA24
GTEX-12ZZW-0011-R4a-SM-5DUX9,Brain_Amygdala
GTEX-12ZZW-0011-R5a-SM-5DUVN,Brain_Caudate_basal_ganglia
GTEX-12ZZW-0011-R6a-SM-5DUVZ,Brain_Nucleus_accumbens_basal_ganglia
GTEX-12ZZW-0011-R7a-SM-5DUWC,Brain_Putamen_basal_ganglia
GTEX-12ZZW-0126-SM-5DUVB,Skin_Sun_Exposed_Lower_leg
GTEX-12ZZW-0426-SM-5GCO9,Artery_Tibial
GTEX-12ZZW-0926-SM-5LZUD,Lung
GTEX-12ZZW-0926-SM-CYKRH,Lung
GTEX-12ZZW-1026-SM-5GCMM,Heart_Left_Ventricle
GTEX-12ZZW-1726-SM-5DUVD,Esophagus - Esophagus_Mucosa
GTEX-12ZZW-2326-SM-5DUW2,Adipose_Visceral_Omentum
GTEX-12ZZW-2426-SM-5DUWE,Colon_Sigmoid
GTEX-12ZZW-2926-SM-5LZUP,Brain_Cortex
GTEX-12ZZW-3026-SM-5LZW7,Pituitary
GTEX-12ZZX-0001-SM-5ANG4,Whole_Blood
GTEX-12ZZX-0001-SM-5DWRR,Whole_Blood
GTEX-12ZZX-0001-SM-6WSBV,Whole_Blood
GTEX-12ZZX-0005-SM-5O9A9,Whole_Blood
GTEX-12ZZX-0008-SM-5YY9N,Cells_Cultured_fibroblasts
GTEX-12ZZX-0011-R10a-SM-AHZMR,Brain_Frontal_Cortex_BA9
GTEX-12ZZX-0011-R10b-SM-5DUWK,Brain_Frontal_Cortex_BA9
GTEX-12ZZX-0011-R11a-SM-5DUVJ,Brain_Cerebellar_Hemisphere
GTEX-12ZZX-0011-R1a-SM-5EQ6B,Brain_Hippocampus
GTEX-12ZZX-0011-R2a-SM-5EGLG,Brain_Substantia_nigra
GTEX-12ZZX-0011-R3b-SM-5EGLH,Brain_Anterior_cingulate_cortex_BA24
GTEX-12ZZX-0011-R5a-SM-5HL89,Brain_Caudate_basal_ganglia
GTEX-12ZZX-0011-R6a-SM-5HL8L,Brain_Nucleus_accumbens_basal_ganglia
GTEX-12ZZX-0011-R7b-SM-5DUVV,Brain_Putamen_basal_ganglia
GTEX-12ZZX-0011-R8a-SM-5DUW8,Brain_Hypothalamus
GTEX-12ZZX-0126-SM-5EGK9,Skin_Sun_Exposed_Lower_leg
GTEX-12ZZX-0226-SM-5DUXU,Adipose_Subcutaneous
GTEX-12ZZX-0326-SM-5DUVH,Muscle_Skeletal
GTEX-12ZZX-0426-SM-5DUVT,Nerve_Tibial
GTEX-12ZZX-0526-SM-5DUW6,Artery_Tibial
GTEX-12ZZX-0626-SM-5EQ46,Artery_Coronary
GTEX-12ZZX-0726-SM-5EGKA,Heart_Atrial_Appendage
GTEX-12ZZX-1026-SM-5LZUW,Artery_Aorta
GTEX-12ZZX-1126-SM-5EGKB,Breast_Mammary_Tissue
GTEX-12ZZX-1226-SM-5EGHS,Thyroid
GTEX-12ZZX-1326-SM-5DUWI,Esophagus - Esophagus_Mucosa
GTEX-12ZZX-1726-SM-5BC63,Adipose_Visceral_Omentum
GTEX-12ZZX-1926-SM-5EGKC,Vagina
GTEX-12ZZX-2026-SM-5LZV9,Ovary
GTEX-12ZZX-2126-SM-5LZVL,Uterus
GTEX-12ZZX-2426-SM-5GCOE,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12ZZX-2726-SM-5N9FT,Colon_Sigmoid
GTEX-12ZZX-2826-SM-5BC6K,Brain_Cerebellum
GTEX-12ZZX-2926-SM-5GCOQ,Brain_Cortex
GTEX-12ZZX-2926-SM-CYKV2,Brain_Cortex
GTEX-12ZZX-3026-SM-5GCP3,Pituitary
GTEX-12ZZY-0004-SM-5ANFV,Whole_Blood
GTEX-12ZZY-0004-SM-5DWRV,Whole_Blood
GTEX-12ZZY-0004-SM-6WSCC,Whole_Blood
GTEX-12ZZY-0008-SM-5YY9Q,Cells_Cultured_fibroblasts
GTEX-12ZZY-0011-R10b-SM-5HL7W,Brain_Frontal_Cortex_BA9
GTEX-12ZZY-0011-R5a-SM-5EGL9,Brain_Caudate_basal_ganglia
GTEX-12ZZY-0011-R6b-SM-5EGLA,Brain_Nucleus_accumbens_basal_ganglia
GTEX-12ZZY-0011-R7a-SM-5EGLB,Brain_Putamen_basal_ganglia
GTEX-12ZZY-0126-SM-5LZV2,Testis
GTEX-12ZZY-0226-SM-5LZVE,Skin_Sun_Exposed_Lower_leg
GTEX-12ZZY-0326-SM-5LZVQ,Adipose_Subcutaneous
GTEX-12ZZY-0426-SM-5LZW3,Nerve_Tibial
GTEX-12ZZY-0526-SM-5EQ5H,Artery_Tibial
GTEX-12ZZY-0626-SM-5EQ5T,Muscle_Skeletal
GTEX-12ZZY-0726-SM-5EQ66,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12ZZY-0826-SM-5EQMT,Thyroid
GTEX-12ZZY-0926-SM-5EQ6I,Lung
GTEX-12ZZY-1126-SM-5DUWQ,Heart_Left_Ventricle
GTEX-12ZZY-1226-SM-5GCNK,Heart_Atrial_Appendage
GTEX-12ZZY-1326-SM-5GCNW,Artery_Aorta
GTEX-12ZZY-1426-SM-5N9EI,Esophagus - Esophagus_Mucosa
GTEX-12ZZY-1526-SM-5LZWF,Esophagus_Muscularis
GTEX-12ZZY-2726-SM-5EQ45,Colon_Sigmoid
GTEX-12ZZY-2926-SM-5DUXO,Brain_Cerebellum
GTEX-12ZZY-3026-SM-5GCOU,Brain_Cortex
GTEX-12ZZY-3126-SM-5DUX3,Pituitary
GTEX-12ZZZ-0002-SM-5ANGD,Whole_Blood
GTEX-12ZZZ-0002-SM-5DWRU,Whole_Blood
GTEX-12ZZZ-0002-SM-6WSCB,Whole_Blood
GTEX-12ZZZ-0008-SM-5YY9S,Cells_Cultured_fibroblasts
GTEX-12ZZZ-0011-R10a-SM-5P9HC,Brain_Frontal_Cortex_BA9
GTEX-12ZZZ-0011-R10a-SM-AHZ6M,Brain_Frontal_Cortex_BA9
GTEX-12ZZZ-0011-R11a-SM-5EGLC,Brain_Cerebellar_Hemisphere
GTEX-12ZZZ-0011-R3b-SM-5DUXK,Brain_Anterior_cingulate_cortex_BA24
GTEX-12ZZZ-0011-R4b-SM-5DUV7,Brain_Amygdala
GTEX-12ZZZ-0011-R5a-SM-5EQ4M,Brain_Caudate_basal_ganglia
GTEX-12ZZZ-0011-R6b-SM-5EQ5B,Brain_Nucleus_accumbens_basal_ganglia
GTEX-12ZZZ-0011-R7b-SM-5EGLE,Brain_Putamen_basal_ganglia
GTEX-12ZZZ-0226-SM-59HKU,Muscle_Skeletal
GTEX-12ZZZ-0526-SM-5DUX6,Adipose_Subcutaneous
GTEX-12ZZZ-0626-SM-5DUXI,Skin_Sun_Exposed_Lower_leg
GTEX-12ZZZ-0726-SM-5GCNZ,Skin_Not_Sun_Exposed_Suprapubic
GTEX-12ZZZ-0926-SM-5N9EQ,Adrenal_Gland
GTEX-12ZZZ-1226-SM-59HK1,Thyroid
GTEX-12ZZZ-1326-SM-59HKW,Liver
GTEX-12ZZZ-1726-SM-59HK5,Heart_Left_Ventricle
GTEX-12ZZZ-2026-SM-5LZWJ,Prostate
GTEX-12ZZZ-2426-SM-5GCNN,Colon_Transverse
GTEX-12ZZZ-3026-SM-5BC67,Brain_Cortex
GTEX-12ZZZ-3126-SM-5LZU6,Brain_Cerebellum
GTEX-13111-0002-SM-5TDBU,Cells_EBV-transformed_lymphocytes 
GTEX-13111-0003-SM-5ANG9,Whole_Blood
GTEX-13111-0003-SM-5DWRJ,Whole_Blood
GTEX-13111-0003-SM-6WSCF,Whole_Blood
GTEX-13111-0005-SM-5NQ7Z,Whole_Blood
GTEX-13111-0008-SM-5YY8R,Cells_Cultured_fibroblasts
GTEX-13111-0126-SM-5EGHO,Spleen
GTEX-13111-0226-SM-5EQ55,Thyroid
GTEX-13111-0326-SM-5DUXF,Adrenal_Gland
GTEX-13111-0426-SM-5DUXR,Lung
GTEX-13111-0526-SM-5LZVF,Artery_Aorta
GTEX-13111-0626-SM-5LZVR,Adipose_Visceral_Omentum
GTEX-13111-0726-SM-5DUVE,Colon_Transverse
GTEX-13111-0826-SM-5LZV3,Esophagus - Esophagus_Mucosa
GTEX-13111-0926-SM-5DUVQ,Esophagus_Muscularis
GTEX-13111-1126-SM-5GCMZ,Esophagus_Gastroesophageal_Junction
GTEX-13111-1226-SM-5GCNC,Stomach
GTEX-13111-1326-SM-5GCNO,Prostate
GTEX-13111-1426-SM-5DUW3,Small_Intestine_Terminal_Ileum
GTEX-13111-1526-SM-5EGJX,Testis
GTEX-13111-1626-SM-5EGJY,Skin_Sun_Exposed_Lower_leg
GTEX-13111-1726-SM-5EGJZ,Adipose_Subcutaneous
GTEX-13111-1826-SM-5GCP1,Skin_Not_Sun_Exposed_Suprapubic
GTEX-13111-1926-SM-5GCOL,Colon_Sigmoid
GTEX-13111-2026-SM-5GCMN,Nerve_Tibial
GTEX-13111-2126-SM-5LZU2,Artery_Tibial
GTEX-13111-2226-SM-5LZUE,Muscle_Skeletal
GTEX-13111-2326-SM-5LZUQ,Minor_Salivary_Gland
GTEX-13111-5001-SM-AN3XJ,Lung
GTEX-13112-0004-SM-5ANFX,Whole_Blood
GTEX-13112-0004-SM-5DWRX,Whole_Blood
GTEX-13112-0004-SM-6WSBQ,Whole_Blood
GTEX-13112-0008-SM-5YY9M,Cells_Cultured_fibroblasts
GTEX-13112-0011-R1b-SM-5HL7K,Brain_Hippocampus
GTEX-13112-0011-R3b-SM-5HL9L,Brain_Anterior_cingulate_cortex_BA24
GTEX-13112-0011-R4b-SM-5DUXL,Brain_Amygdala
GTEX-13112-0011-R5b-SM-5DUV8,Brain_Caudate_basal_ganglia
GTEX-13112-0011-R6b-SM-5DUVK,Brain_Nucleus_accumbens_basal_ganglia
GTEX-13112-0011-R7b-SM-5DUVW,Brain_Putamen_basal_ganglia
GTEX-13112-0011-R8b-SM-664OV,Brain_Hypothalamus
GTEX-13112-0126-SM-5P9IU,Skin_Not_Sun_Exposed_Suprapubic
GTEX-13112-0226-SM-5P9IV,Testis
GTEX-13112-0326-SM-5P9IW,Thyroid
GTEX-13112-0426-SM-5PNVC,Heart_Left_Ventricle
GTEX-13112-0526-SM-5EQ4S,Heart_Atrial_Appendage
GTEX-13112-1126-SM-5GCMY,Adipose_Visceral_Omentum
GTEX-13112-1426-SM-5EGH8,Liver
GTEX-13112-2126-SM-5GCO4,Kidney_Cortex
GTEX-13112-2626-SM-5BC66,Muscle_Skeletal
GTEX-13112-2726-SM-5DUW5,Adipose_Subcutaneous
GTEX-13112-2826-SM-5DUWH,Skin_Sun_Exposed_Lower_leg
GTEX-13112-2926-SM-5DUWT,Brain_Cerebellum
GTEX-13112-3126-SM-5IFGP,Pituitary
GTEX-13113-0003-SM-5ANGI,Whole_Blood
GTEX-13113-0003-SM-5DWRH,Whole_Blood
GTEX-13113-0004-SM-DO3XJ,Whole_Blood
GTEX-13113-0006-SM-5NQ7X,Whole_Blood
GTEX-13113-0008-SM-5YY9T,Cells_Cultured_fibroblasts
GTEX-13113-0126-SM-5LZVX,Thyroid
GTEX-13113-0426-SM-5GCOD,Lung
GTEX-13113-0526-SM-5GCN2,Artery_Aorta
GTEX-13113-0626-SM-5GCP2,Esophagus_Gastroesophageal_Junction
GTEX-13113-0726-SM-5LZUF,Stomach
GTEX-13113-1026-SM-5LZWM,Esophagus_Muscularis
GTEX-13113-1126-SM-5LZU9,Adipose_Visceral_Omentum
GTEX-13113-1226-SM-5EGHT,Small_Intestine_Terminal_Ileum
GTEX-13113-1326-SM-5GCOI,Liver
GTEX-13113-1426-SM-5EGHU,Colon_Sigmoid
GTEX-13113-1526-SM-5EGHV,Minor_Salivary_Gland
GTEX-13113-1626-SM-5EQ4I,Skin_Not_Sun_Exposed_Suprapubic
GTEX-13113-1726-SM-5GCOO,Breast_Mammary_Tissue
GTEX-13113-1826-SM-5LZW4,Adipose_Subcutaneous
GTEX-13113-1926-SM-5LZWG,Skin_Sun_Exposed_Lower_leg
GTEX-13113-2026-SM-5LZU3,Nerve_Tibial
GTEX-13113-2126-SM-5EQ4U,Artery_Tibial
GTEX-13113-5001-SM-AN3XM,Heart_Left_Ventricle
GTEX-13113-5004-SM-79ONL,Lung
GTEX-13113-5007-SM-793CD,Esophagus - Esophagus_Mucosa
GTEX-13113-5010-SM-7RHFP,Esophagus_Muscularis
GTEX-13113-5013-SM-7SB7G,Breast_Mammary_Tissue
GTEX-13113-5016-SM-7EPIP,Skin_Sun_Exposed_Lower_leg
GTEX-13113-5019-SM-7EPH2,Muscle_Skeletal
GTEX-1313W-0004-SM-5DU5K,Whole_Blood
GTEX-1313W-0004-SM-7DRP8,Whole_Blood
GTEX-1313W-0006-SM-5O9B1,Whole_Blood
GTEX-1313W-0008-SM-5YYAP,Cells_Cultured_fibroblasts
GTEX-1313W-0011-R10b-SM-5DUXA,Brain_Frontal_Cortex_BA9
GTEX-1313W-0011-R11a-SM-5DUXN,Brain_Cerebellar_Hemisphere
GTEX-1313W-0011-R1b-SM-5EQ4A,Brain_Hippocampus
GTEX-1313W-0011-R2a-SM-5EGLF,Brain_Substantia_nigra
GTEX-1313W-0011-R3a-SM-5EGLI,Brain_Anterior_cingulate_cortex_BA24
GTEX-1313W-0011-R4b-SM-5KLZV,Brain_Amygdala
GTEX-1313W-0011-R5b-SM-5L3EP,Brain_Caudate_basal_ganglia
GTEX-1313W-0011-R6a-SM-5K7XO,Brain_Nucleus_accumbens_basal_ganglia
GTEX-1313W-0011-R7b-SM-5DUWL,Brain_Putamen_basal_ganglia
GTEX-1313W-0011-R8a-SM-5DUVM,Brain_Hypothalamus
GTEX-1313W-0126-SM-5LZUN,Skin_Sun_Exposed_Lower_leg
GTEX-1313W-0226-SM-5LZV7,Adipose_Subcutaneous
GTEX-1313W-0326-SM-5LZU5,Nerve_Tibial
GTEX-1313W-0526-SM-5P9FZ,Muscle_Skeletal
GTEX-1313W-0626-SM-5EQ4H,Skin_Not_Sun_Exposed_Suprapubic
GTEX-1313W-0726-SM-5EGK1,Thyroid
GTEX-1313W-0826-SM-5EQ4T,Breast_Mammary_Tissue
GTEX-1313W-0926-SM-5EQ56,Lung
GTEX-1313W-1026-SM-5EQ5I,Artery_Aorta
GTEX-1313W-1126-SM-5EQ5U,Heart_Atrial_Appendage
GTEX-1313W-1426-SM-5KLZU,Heart_Left_Ventricle
GTEX-1313W-1626-SM-5J1OE,Adipose_Visceral_Omentum
GTEX-1313W-2726-SM-5P9IX,Ovary
GTEX-1313W-2826-SM-5P9G1,Uterus
GTEX-1313W-3026-SM-5LZUZ,Brain_Cerebellum
GTEX-1313W-3126-SM-5LZUI,Brain_Cortex
GTEX-1313W-3226-SM-5LZUU,Pituitary
GTEX-1314G-0003-SM-5DU4J,Whole_Blood
GTEX-1314G-0003-SM-7DRPN,Whole_Blood
GTEX-1314G-0005-SM-5NQ9O,Whole_Blood
GTEX-1314G-0008-SM-5YY9K,Cells_Cultured_fibroblasts
GTEX-1314G-0126-SM-5LZUL,Heart_Left_Ventricle
GTEX-1314G-0826-SM-5BC6L,Esophagus - Esophagus_Mucosa
GTEX-1314G-1226-SM-5BC6D,Breast_Mammary_Tissue
GTEX-1314G-1326-SM-5BC6E,Skin_Not_Sun_Exposed_Suprapubic
GTEX-1314G-1526-SM-5EGK2,Skin_Sun_Exposed_Lower_leg
GTEX-1314G-1626-SM-5EQ67,Adipose_Subcutaneous
GTEX-1314G-1726-SM-5LZUX,Muscle_Skeletal
GTEX-1314G-1826-SM-5LZVA,Nerve_Tibial
GTEX-1314G-1926-SM-5BC6F,Artery_Tibial
GTEX-1314G-2026-SM-5LZUM,Minor_Salivary_Gland
GTEX-1314G-5001-SM-AN3XN,Heart_Left_Ventricle
GTEX-131XE-0004-SM-5GYA4,Whole_Blood
GTEX-131XE-0004-SM-7DRP4,Whole_Blood
GTEX-131XE-0006-SM-5P9F9,Whole_Blood
